tracking_id	Day0_1_0	Day0_2_0	Day2_1_0	Day2_2_0	Day5_1_0	Day5_2_0	Day14_1_0	Day14_2_0	Fetal_27195_0	Fetal_27197_0
ENSG00000124772	11.6431	8.15539	11.0711	7.8907	16.6552	25.5523	236.544	183.025	1362.99	1008.94
ENSG00000124780	28.1375	35.34	22.1423	34.5218	15.9311	13.6887	0	1.02249	0	23.0495
ENSG00000124782	3208.64	2597.04	3791.25	3384.12	2689.45	2642.84	5654.8	4665.6	3973.19	3556.96
ENSG00000124783	3368.73	2513.67	3236.46	3321.99	3411.42	4272.71	2089.08	1781.17	3366.95	4307.12
ENSG00000124784	985.781	1121.82	623.674	548.404	749.485	770.219	612.438	562.367	596.768	707.201
ENSG00000124785	119.342	21.7477	206.661	205.158	12.3104	9.12581	7.02605	30.6746	78.9375	73.3394
ENSG00000124786	196.962	215.665	204.201	221.926	243.311	261.911	334.909	259.711	331.538	528.044
ENSG00000124787	202.784	312.623	178.368	169.65	153.518	155.139	195.559	177.913	114.723	107.914
ENSG00000124788	305.631	144.079	456.377	441.879	518.484	564.888	4097.36	3338.42	4889.92	5055.18
ENSG00000124789	6575.43	7264.64	5449.46	5049.06	5639.6	6401.76	2994.27	2733.1	3632.18	3633.44
ENSG00000124795	10380.8	10035.7	8459.57	7718.09	8439.85	9250.84	3617.25	4672.76	5675.08	6118.6
ENSG00000124802	1495.17	1743.44	709.782	578.98	659.963	620.555	356.359	461.43	439.945	404.708
ENSG00000124812	0	0	0	0	0	0	0	0	0	0
ENSG00000124813	18.4349	18.1231	46.7448	15.7814	10.8621	17.339	15.2231	0	26.3125	118.391
ENSG00000124818	0	0	0	0	2.17242	0.912581	0	0	22.1025	6.28623
ENSG00000124827	1.94051	1.81231	0	0	0	0	0	0	0	0
ENSG00000124831	4294.36	3462.42	2841.59	2471.76	2159.35	1983.04	4569.28	6170.7	6835.99	5573.79
ENSG00000124839	3600.62	3212.32	1847.65	1402.57	451.863	436.214	141.692	285.274	64.2025	55.5284
ENSG00000124875	37.84	61.6185	1.23013	1.97268	3.6207	1.82516	3.51303	0	6.315	9.42935
ENSG00000124882	0.970257	0	0	0	0	0	2.34202	0	57.8875	44.0036
ENSG00000124900	0	0	0	0	0	0	0	0	0	0
ENSG00000124920	256.148	222.914	337.054	405.385	1897.25	1995.82	1890.01	1372.18	1341.94	2567.93
ENSG00000124935	0	0	0	0	0	0	0	0	0	0
ENSG00000124939	0	0	0	0	0	0	0	0	0	0
ENSG00000124942	959.584	338.902	20618.1	18021.4	26486.9	34661.7	32603.2	21052	135848	114947
ENSG00000125037	784.938	955.993	950.887	988.31	872.588	701.775	1434.49	1433.52	899.888	761.682
ENSG00000125046	6.7918	5.43693	8.61088	28.6038	28.9656	37.4158	8.19706	3.06746	77.885	41.9082
ENSG00000125084	0	0	0	0	0.72414	0	0	0	0	0
ENSG00000125089	9.70257	12.6862	81.1883	67.071	210.001	177.041	172.138	160.53	639.92	815.115
ENSG00000125107	19547.8	16026.3	16136.8	14590.9	14961.5	15921.8	8567.1	6924.27	9872.46	8369.07
ENSG00000125122	2.91077	5.43693	30.7531	52.2759	41.276	41.0662	29.2752	30.6746	46.31	77.5302
ENSG00000125124	430.794	352.494	1067.75	1261.53	1065.21	1001.1	884.112	1036.8	1461.92	1001.61
ENSG00000125144	2473.18	1347.45	6.15063	1.97268	2.17242	0.912581	1.17101	1.02249	45.2575	75.4348
ENSG00000125148	2576.03	1192.5	24.6025	11.8361	20.2759	13.6887	7.02605	24.5397	207.343	157.156
ENSG00000125149	667.537	679.616	579.389	572.076	666.209	658.884	530.467	506.13	596.768	586.715
ENSG00000125166	7653.39	8739.86	4300.52	3638.6	3318.73	3207.72	7442.93	7774.98	6238.17	4151.01
ENSG00000125170	704.407	819.164	755.297	966.611	20647.4	16568.8	51998.7	41313.5	931.463	967.032
ENSG00000125207	28.1375	41.6831	23.3724	12.8224	1.44828	6.38807	0	0	8.42	26.1926
ENSG00000125245	0	0	0	0	0	0	0	0	0	6.28623
ENSG00000125246	244.505	208.416	259.556	270.257	171.621	223.582	433.273	425.354	343.115	254.592
ENSG00000125247	1595.1	1371.92	1569.64	1389.75	1688.69	1711.09	1115.97	1265.84	1243	1302.3
ENSG00000125249	3692.8	3237.69	6888.7	6720.91	2712.63	2913.87	3732.01	3128.81	2974.37	2866.52
ENSG00000125255	0	0	0	0	0	0	0	0	0	0
ENSG00000125257	781.057	789.261	565.858	422.153	451.863	594.09	213.124	269.936	329.433	471.467
ENSG00000125266	1372.91	1246.87	1821.82	1006.06	1525.04	1276.7	3017.69	1012.26	2851.22	4638.19
ENSG00000125285	3.88103	13.5923	2.46025	12.8224	13.0345	19.1642	3.51303	0	1.0525	4.19082
ENSG00000125304	5917.6	6691.95	5955.04	6312.56	5996.6	5723.71	6311.74	5838.39	3994.24	4379.41
ENSG00000125319	543.344	531.007	482.209	445.825	450.415	392.41	151.06	214.722	272.598	195.921
ENSG00000125337	7.76206	10.8739	8.61088	10.8497	12.3104	17.339	5.85505	9.20237	6.315	6.28623
ENSG00000125347	207.635	223.82	225.113	180.5	220.138	156.964	105.391	86.9113	178.925	316.407
ENSG00000125351	907.19	819.164	802.042	895.595	673.45	668.009	802.141	801.629	277.86	294.405
ENSG00000125352	472.515	446.734	444.075	415.248	265.759	282.9	538.664	656.436	308.383	237.829
ENSG00000125354	1001.31	789.261	756.527	802.879	508.346	447.165	1192.09	1642.11	1769.25	2146.75
ENSG00000125355	4.85128	0	183.289	161.759	35.4828	21.902	19.9072	6.13491	25.26	55.5284
ENSG00000125356	1350.6	1261.37	1232.59	1260.54	1233.21	1115.17	3103.17	3380.34	3830.05	2266.19
ENSG00000125363	0	0	0	0	0	0	0	0	0	0
ENSG00000125375	382.281	410.488	533.874	527.691	608.277	671.66	607.754	717.785	1016.72	850.737
ENSG00000125378	128.074	196.636	292.77	529.663	6528.12	5786.68	1151.1	326.173	450.47	714.535
ENSG00000125384	70.8288	46.2139	12.3013	5.91803	4.34484	7.30065	1.17101	1.02249	3.1575	28.288
ENSG00000125386	1094.45	1076.51	1265.8	1315.77	1358.49	1300.43	1612.48	1392.63	1700.84	1616.61
ENSG00000125388	34.9293	56.1816	55.3557	52.2759	125.276	132.324	411.024	468.298	377.848	315.359
ENSG00000125398	221.219	145.891	167.297	201.213	185.38	114.073	378.236	76.6864	879.89	1058.18
ENSG00000125409	16.4944	22.6539	7.38075	6.90436	6.51726	4.56291	2.34202	0	6.315	8.38164
ENSG00000125414	41.721	58.9001	1.23013	0	2.89656	2.73774	9.36807	5.11243	1.0525	2.09541
ENSG00000125430	267.791	331.653	606.452	616.461	447.518	392.41	528.125	359.915	141.035	116.295
ENSG00000125434	34.9293	21.7477	43.0544	36.4945	28.2414	8.21323	33.9593	50.1018	59.9925	70.1963
ENSG00000125445	1843.49	2522.73	2053.08	1944.07	1955.9	1751.24	2647.65	2892.61	2054.48	1443.74
ENSG00000125447	1533.98	1422.66	1465.08	1499.23	1271.59	1411.76	1223.7	1304.69	1237.74	1139.9
ENSG00000125449	237.713	231.069	184.519	205.158	177.414	187.992	316.172	274.026	247.338	198.016
ENSG00000125450	1876.48	2151.21	1882.09	1837.55	1588.04	1652.68	943.833	930.462	1354.57	1362.02
ENSG00000125454	307.571	379.679	65.1967	56.2213	108.621	133.237	140.521	257.666	212.605	209.541
ENSG00000125457	290.107	231.069	260.787	256.448	265.035	221.757	315.001	386.5	183.135	138.297
ENSG00000125458	864.499	886.219	1182.15	1280.27	811.036	796.683	1004.73	1245.39	875.68	662.15
ENSG00000125459	226.07	300.843	225.113	280.12	313.552	315.753	251.767	254.599	267.335	293.358
ENSG00000125462	397.805	113.269	334.594	504.019	32.5863	14.6013	7.02605	26.5846	19.9975	52.3853
ENSG00000125482	987.722	1066.54	809.423	892.636	854.485	807.634	646.397	698.358	759.905	657.959
ENSG00000125484	4362.28	4816.21	2826.83	2889.97	3275.28	3746.15	2757.73	2692.2	3393.26	3011.11
ENSG00000125485	1159.46	1150.82	1126.8	1048.48	721.243	772.956	518.757	512.265	432.578	503.946
ENSG00000125492	0	0	0	0	0	0	1.17101	2.04497	0	1.04771
ENSG00000125498	0	0	0	0	0	0	0	0	0	0
ENSG00000125503	1483.52	1668.23	1604.08	1772.45	1391.8	1277.61	1569.15	1718.8	2958.58	2482.01
ENSG00000125505	2372.28	2330.63	2744.41	3157.27	2847.32	2983.23	2199.16	1924.32	889.363	824.544
ENSG00000125508	7.76206	3.62462	2.46025	3.94535	0	1.82516	0	0	0	0
ENSG00000125510	32.9887	19.0292	113.172	146.964	151.345	115.898	176.822	333.33	128.405	85.9118
ENSG00000125520	591.857	551.848	815.573	896.581	768.312	654.321	1144.08	1192.22	1326.15	1129.43
